Name,Year,Genre,Publisher,Studio,Critic_Score,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform
3Xtreme,1999,Action,989 Studios,Unknown,2.9,0.5,0.34,0.0,0.06,0.9,PS
40 Winks,1999,Platform,GT Interactive,Eurocom Entertainment Software,5.5,0.17,0.12,0.0,0.02,0.31,PS
4X4 EVO 2,2002,Racing,VU Games,Terminal Reality,5.1,0.11,0.03,0.0,0.0,0.14,GC
50 Cent: Blood on the Sand,2009,Shooter,THQ,Swordfish Studios,7.2,0.22,0.13,0.01,0.05,0.4,PS3
50 Cent: Bulletproof,2006,Action,Vivendi Games,High Voltage Software,5.5,0.08,0.0,0.0,0.01,0.09,PSP
7 Wonders of the Ancient World,2007,Puzzle,Mumbo Jumbo,Hot Lava Games,5.4,0.07,0.0,0.0,0.01,0.08,PSP
7th Dragon III Code: VFD,2016,Role-Playing,Sega,Sega,7.5,0.06,0.04,0.13,0.01,0.24,3DS
"999: Nine Hours, Nine Persons, Nine Doors",2010,Adventure,Aksys Games,Spike,7.9,0.31,0.0,0.03,0.02,0.37,DS
A Boy and His Blob,2009,Platform,Majesco,WayForward Technologies,7.9,0.18,0.01,0.0,0.02,0.21,Wii
A Bug's Life,1998,Platform,Activision,Traveller's Tales,3.6,2.45,0.85,0.0,0.12,3.42,N64
A Collection of Activision Classic Games for the Atari 2600,1998,Misc,Activision,"Livesay Technologies, Inc.",3.8,0.76,0.52,0.0,0.09,1.37,PS
A Collection of Intellivision Classic Games,1999,Misc,Activision,LTI,4.3,0.17,0.12,0.0,0.02,0.31,PS
A Game of Thrones: Genesis,2011,Strategy,Focus Home Interactive,Cyanide,4.9,0.0,0.03,0.0,0.0,0.03,PC
A Sound of Thunder,2005,Action,BAM! Entertainment,Rockstar Leeds,6.8,0.0,0.0,0.0,0.0,0.0,GBA
A Way Out,2018,Action,Electronic Arts,Hazelight,7.5,0.4,0.21000000000000002,0.0,0.1,0.72,PS4
A Witch's Tale,2009,Role-Playing,NIS America,Hit Maker,5.0,0.08,0.0,0.03,0.01,0.11,DS
A-Train,1996,Strategy,Maxis,ArtDink,6.0,0.02,0.01,0.04,0.01,0.08,PS
A-Train HX,2008,Simulation,505 Games,ArtDink,2.0,0.0,0.0,0.0,0.0,0.0,X360
AC/DC LIVE: Rock Band Track Pack,2008,Misc,MTV Games,Harmonix Music Systems,6.7,0.21,0.0,0.0,0.02,0.23,X360
ARK: Survival Evolved,2018,Action-Adventure,Studio Wildcard,Studio Wildcard,4.0,0.07,0.0,0.0,0.01,0.08,NS
ARMS,2017,Fighting,Nintendo,Nintendo EPD,7.9,0.9,0.48,0.47,0.14,1.99,NS
ATV Offroad Fury,2001,Racing,Sony Computer Entertainment,Rainbow Studios,8.4,2.07,0.26,0.0,0.08,2.41,PS2
ATV Offroad Fury 2,2002,Racing,Sony Computer Entertainment,Rainbow Studios,8.7,1.92,0.2,0.0,0.06,2.18,PS2
ATV Offroad Fury 3,2004,Racing,Sony Computer Entertainment,Climax Group,7.5,1.0,0.04,0.0,0.16,1.2,PS2
ATV Offroad Fury Pro,2006,Racing,Sony Computer Entertainment,Climax Group,7.6,0.37,0.04,0.0,0.04,0.46,PSP
ATV Offroad Fury: Blazin' Trails,2005,Racing,Sony Computer Entertainment,Climax Group,5.9,0.53,0.0,0.0,0.04,0.57,PSP
ATV: Quad Power Racing,2002,Racing,Acclaim Entertainment,Tantalus Interactive,5.5,0.18,0.07,0.0,0.0,0.26,GBA
Academy of Champions: Soccer,2009,Sports,Ubisoft,Ubisoft Vancouver,7.1,0.09,0.02,0.0,0.01,0.12,Wii
Ace Attorney Investigations: Miles Edgeworth,2010,Adventure,Capcom,Capcom,7.7,0.23,0.14,0.3,0.04,0.7,DS
Ace Combat 04: Shattered Skies,2001,Simulation,Namco,Namco,8.9,2.06,0.56,0.38,0.17,3.17,PS2
Ace Combat 2,1997,Simulation,Namco,Namco,8.5,0.16,0.11,0.56,0.06,0.89,PS
Ace Combat 3: Electrosphere,2000,Simulation,Namco,Namco,7.6,0.22,0.15,0.4,0.05,0.83,PS
Ace Combat 6: Fires of Liberation,2007,Simulation,Namco Bandai,Namco Bandai Games,8.1,0.69,0.04,0.22,0.07,1.01,X360
Ace Combat X: Skies of Deception,2006,Simulation,Namco Bandai,Bandai Namco Games,7.6,0.37,0.31,0.12,0.19,1.0,PSP
Ace Combat Zero: The Belkan War,2006,Simulation,Namco,Namco,7.5,0.15,0.12,0.2,0.04,0.51,PS2
Ace Combat: Assault Horizon,2011,Action,Namco Bandai,Project ACES,7.0,0.6,0.28,0.25,0.11000000000000001,1.23,PS3
Ace Combat: Assault Horizon Legacy,2011,Simulation,Namco Bandai,Namco Bandai Games,7.0,0.1,0.06,0.08,0.01,0.25,3DS
Ace Combat: Joint Assault,2010,Simulation,Namco Bandai,Project ACES,7.0,0.06,0.05,0.15,0.03,0.29,PSP
Act of War: Direct Action,2005,Strategy,Atari,Eugen Systems,8.2,0.0,0.0,0.0,0.0,0.0,PC
Act of War: High Treason,2006,Strategy,Atari,Eugen Systems,6.8,0.0,0.0,0.0,0.0,0.0,PC
Action Bass,2000,Action,Take-Two Interactive,Unknown,5.1,0.64,0.43,0.0,0.07,1.14,PS
Activision Anthology,2003,Misc,Activision,Aspyr,8.0,0.03,0.01,0.0,0.0,0.05,GBA
Activision Hits: Remixed,2006,Misc,Activision,Digital Eclipse Software,7.4,0.05,0.0,0.0,0.0,0.05,PSP
Adidas Power Soccer,1996,Sports,Psygnosis,Shen Studios,7.0,0.02,0.01,0.0,0.0,0.04,PS
Adidas Power Soccer 98,1998,Sports,Psygnosis,Shen Studios,5.8,0.01,0.01,0.0,0.0,0.02,PS
Adrenalin Misfits,2010,Racing,Konami,Konami,4.7,0.12,0.02,0.0,0.01,0.14,X360
Advance Guardian Heroes,2004,Role-Playing,Ubisoft,"Treasure Co., Ltd.",7.0,0.03,0.01,0.0,0.0,0.04,GBA
Advance Wars,2001,Strategy,Nintendo,Intelligent Systems,9.4,0.5,0.19,0.0,0.01,0.7,GBA
Advance Wars 2: Black Hole Rising,2003,Strategy,Nintendo,Intelligent Systems,8.8,0.47,0.17,0.0,0.01,0.65,GBA
Advance Wars: Days of Ruin,2008,Strategy,Nintendo,Intelligent Systems,8.4,0.43,0.13,0.0,0.05,0.61,DS
Advance Wars: Dual Strike,2005,Strategy,Nintendo,Intelligent Systems,9.0,0.3,0.03,0.04,0.03,0.39,DS
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,Action-Adventure,D3Publisher,Way Forward,2.8,0.02,0.02,0.0,0.0,0.04,WiiU
Aedis Eclipse: Generation of Chaos,2007,Role-Playing,NIS America,Neverland Company,5.8,0.02,0.0,0.0,0.0,0.02,PSP
Aero Gauge,1998,Racing,ASCII Entertainment,Locomotive Games,4.5,0.06,0.01,0.0,0.0,0.07,N64
Aero The Acro-Bat,2002,Platform,Metro 3D,Atomic Planet Entertainment,7.2,0.0,0.0,0.0,0.0,0.0,GBA
AeroFighters Assault,1997,Action,Victory Lap Games,Paradigm Entertainment,5.4,0.15,0.04,0.0,0.0,0.19,N64
Afrika,2009,Adventure,Natsume,Rhino Studios,6.0,0.12,0.0,0.08,0.01,0.22,PS3
Afro Samurai,2009,Action,Namco Bandai,Namco Bandai Games,6.4,0.28,0.1,0.0,0.05,0.44,PS3
After Burner: Black Falcon,2007,Simulation,Sega,Planet Moon Studios,7.4,0.01,0.0,0.0,0.0,0.01,PSP
Again,2010,Adventure,KOEI,Cing,6.0,0.07,0.0,0.0,0.01,0.07,DS
Agatha Christie: The ABC Murders,2009,Adventure,DreamCatcher Interactive,DreamCatcher Interactive,6.0,0.08,0.01,0.0,0.01,0.1,DS
Age of Conan: Hyborian Adventures,2008,Role-Playing,Eidos Interactive,Funcom,7.9,0.0,0.0,0.0,0.0,0.0,PC
Age of Conan: Rise of the Godslayer,2010,Role-Playing,Funcom,Funcom,7.9,0.0,0.02,0.0,0.0,0.03,PC
Age of Empires II: The Age of Kings,1999,Strategy,Microsoft,Ensemble Studios,9.3,0.01,0.08,0.0,0.01,0.09,PC
Age of Empires III,2005,Strategy,Microsoft Game Studios,Ensemble Studios,8.3,0.0,0.33,0.0,0.04,0.37,PC
Age of Empires Online,2011,Strategy,Microsoft Game Studios,Microsoft Game Studios,7.0,0.01,0.04,0.0,0.01,0.06,PC
Age of Empires: Mythologies,2008,Strategy,THQ,Griptonite,8.2,0.16,0.03,0.0,0.02,0.21,DS
Age of Mythology,2002,Strategy,Microsoft Game Studios,Ensemble Studios,8.8,0.02,0.06,0.0,0.01,0.08,PC
Age of Mythology: The Titans,2003,Strategy,Microsoft Game Studios,Ensemble Studios,8.2,0.03,0.02,0.0,0.01,0.06,PC
Aggressive Inline,2002,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",7.3,0.26,0.15,0.0,0.04,0.48,Multi_Plateforme
Agony,2018,Action-Adventure,Maximum Games,Madmind Studio,5.0,0.02,0.0,0.0,0.0,0.03,PS4
Aidyn Chronicles: The First Mage,2001,Role-Playing,THQ,H2O Interactive,6.0,0.08,0.02,0.0,0.0,0.1,N64
Aion: Tower of Eternity,2009,Role-Playing,NCSoft,NCsoft,7.4,0.0,0.0,0.0,0.0,0.0,PC
Air Combat,1995,Simulation,Namco,Namco,7.0,0.92,0.33,0.52,0.05,1.83,PS
Air Conflicts: Aces of World War II,2009,Simulation,Graffiti,Cowboy Rodeo,3.3,0.05,0.0,0.0,0.0,0.05,PSP
Air Conflicts: Secret Wars,2011,Simulation,Kalypso,Games Farm,6.0,0.06,0.02,0.0,0.01,0.08,X360
Air Traffic Chaos,2008,Simulation,Majesco,TechnoBrain,6.8,0.05,0.0,0.0,0.0,0.05,DS
AirForce Delta Storm,2002,Shooter,Konami,Konami,7.5,0.02,0.01,0.0,0.0,0.02,GBA
Akuji the Heartless,1998,Platform,Eidos Interactive,Crystal Dynamics,6.7,0.07,0.04,0.0,0.01,0.12,PS
Alan Wake,2010,Action,Microsoft Game Studios,Remedy Entertainment,8.3,0.66,0.5,0.05,0.12,1.33,X360
Alex Rider: Stormbreaker,2006,Action,THQ,Altron,4.0,0.06,0.0,0.0,0.0,0.07,DS
Alexi Lalas International Soccer,1999,Sports,Take-Two Interactive,Z-Axis,4.4,0.04,0.03,0.0,0.0,0.07,PS
Alice in Wonderland,2010,Adventure,Disney Interactive Studios,Etranges Libellules,6.3,0.5,0.39,0.0,0.1,0.99,DS
Alice: Madness Returns,2011,Adventure,Electronic Arts,Spicy Horse,6.7,0.49,0.49,0.08,0.13,1.21,Multi_Plateforme
Alien Hominid,2004,Shooter,O3 Entertainment,The Behemoth,8.3,0.07,0.02,0.0,0.0,0.09,GC
Alien Resurrection,2000,Shooter,Fox Interactive,Argonaut Games,5.2,0.09,0.06,0.0,0.01,0.16,PS
Alien Syndrome,2007,Role-Playing,Sega,Totally Games,4.9,0.12000000000000001,0.0,0.0,0.01,0.14,PSP
Alien Trilogy,1997,Shooter,Acclaim Entertainment,Probe Entertainment Limited,8.0,0.24,0.16,0.04,0.03,0.47,PS
Alienators: Evolution Continues,2001,Action,Activision,Digital Eclipse,7.0,0.03,0.01,0.0,0.0,0.03,GBA
Aliens versus Predator,1999,Shooter,Fox Interactive,Rebellion Developments,8.7,0.0,0.01,0.0,0.0,0.01,PC
Aliens vs Predator,2010,Shooter,Sega,Rebellion Developments,6.0,0.96,1.03,0.0,0.31,2.29,Multi_Plateforme
Aliens: Infestation,2011,Action,Sega,Way Forward,8.5,0.09,0.05,0.0,0.02,0.17,DS
All Grown Up! Express Yourself,2004,Misc,THQ,Altron,3.7,0.13,0.05,0.0,0.0,0.18,GBA
All Points Bulletin,2010,Action,Electronic Arts,Realtime Worlds,7.0,0.0,0.03,0.0,0.01,0.04,PC
All Star Tennis 99,1999,Sports,Ubisoft,Smart Dog,5.1,0.04,0.01,0.0,0.0,0.05,N64
All-Pro Football 2K8,2007,Sports,2K Sports,Visual Concepts,7.5,0.24,0.0,0.0,0.02,0.26,X360
All-Star Baseball 2001,2000,Sports,Acclaim Entertainment,High Voltage Software,9.2,0.22,0.01,0.0,0.0,0.23,N64
All-Star Baseball 2002,2001,Sports,Acclaim Entertainment,Acclaim Entertainment,6.5,0.17,0.04,0.0,0.01,0.22,GC
All-Star Baseball 2003,2002,Sports,Acclaim Entertainment,Acclaim Entertainment,7.7,0.22999999999999998,0.07,0.0,0.0,0.3,GBA
All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,Acclaim Entertainment,7.4,0.05,0.02,0.0,0.0,0.07,GBA
Allied General,1996,Strategy,SSI,SSI,6.3,0.11,0.07,0.0,0.01,0.19,PS
Alone In The Dark,2008,Adventure,Atari,Hydravision Entertainment,3.1,0.09,0.08,0.0,0.02,0.18,Wii
Alone in the Dark,2008,Adventure,Atari,Eden Studios,6.3,0.14,0.3,0.0,0.05,0.49,X360
Alone in the Dark: The New Nightmare,2001,Adventure,Infogrames,Darkworks,7.2,0.09,0.06,0.0,0.01,0.16,PS
Alpha Protocol,2010,Role-Playing,Sega,Obsidian Entertainment,6.8,0.23,0.13,0.0,0.04,0.39,X360
Altered Beast: Guardian of the Realms,2002,Action,THQ,3d6 Games,6.5,0.07,0.02,0.0,0.0,0.09,GBA
Alundra,1997,Role-Playing,Working Designs,Matrix Software,8.8,0.13,0.09,0.0,0.01,0.23,PS
Alundra 2: A New Legend Begins,2000,Role-Playing,Activision,Matrix Software,7.1,0.15,0.1,0.0,0.02,0.27,PS
Amazing Island,2004,Strategy,Sega,Hitmaker,7.1,0.04,0.01,0.0,0.0,0.06,GC
America's Army: True Soldiers,2007,Shooter,Ubisoft,Red Storm Entertainment,4.5,0.08,0.0,0.0,0.01,0.08,X360
America's Test Kitchen: Let's Get Cooking,2010,Simulation,Nintendo,Indies Zero,8.5,0.25,0.0,0.0,0.02,0.27,DS
American Bass Challenge,2001,Sports,Ubisoft,Starfish,6.7,0.03,0.01,0.0,0.0,0.05,GBA
Amped 3,2005,Sports,2K Sports,2K Sports,7.2,0.13,0.02,0.0,0.01,0.16,X360
Andretti Racing,1996,Racing,EA Sports,Stormfront Studios,7.3,0.43,0.29,0.0,0.05,0.77,PS
Animal Boxing,2008,Fighting,Destineer,Gammick Entertainment,6.1,0.03,0.0,0.0,0.0,0.03,DS
Animal Crossing,2002,Simulation,Nintendo,Nintendo EAD,8.3,1.92,0.16,0.99,0.09,3.15,GC
Animal Crossing: Amiibo Festival,2015,Party,Nintendo,"Nd Cube Co., Ltd.",4.8,0.23,0.12,0.1,0.04,0.49,WiiU
Animal Crossing: City Folk,2008,Simulation,Nintendo,Nintendo EAD,7.1,1.84,1.13,1.32,0.36,4.65,Wii
Animal Crossing: Happy Home Designer,2015,Simulation,Nintendo,Nintendo EAD,6.6,0.71,1.1,1.45,0.15,3.41,3DS
Animal Crossing: New Leaf,2013,Simulation,Nintendo,Nintendo EAD,8.6,2.46,3.06,4.9,0.48,10.9,3DS
Animal Crossing: Wild World,2005,Simulation,Nintendo,Nintendo EAD,8.5,2.5,3.46,5.33,0.86,12.14,DS
Animorphs: Shattered Reality,2000,Action,Infogrames,Single Trac,3.5,0.03,0.02,0.0,0.0,0.06,PS
Anno 1701: Dawn of Discovery,2008,Simulation,Ubisoft,Sunflower Studios,8.0,0.07,0.05,0.0,0.01,0.13,DS
Anno 2070,2011,Strategy,Ubisoft,Blue Byte Studio,8.7,0.0,1.14,0.0,0.26,1.4,PC
Another Code R: A Journey into Lost Memories,2009,Adventure,Nintendo,Cing,5.9,0.0,0.03,0.03,0.0,0.06,Wii
Anubis II,2007,Platform,UFO Interactive,Data Design Interactive,1.5,0.06,0.0,0.0,0.01,0.07,Wii
Apache: Air Assault,2010,Simulation,Activision,Gaijin Entertainment,6.8,0.12,0.03,0.0,0.01,0.16,X360
Ape Academy 2,2006,Misc,Sony Computer Entertainment,Shift,6.4,0.0,0.0,0.0,0.0,0.0,PSP
Ape Escape,1999,Platform,Sony Computer Entertainment,SCE Japan Studio,9.3,0.71,0.48,0.32,0.11,1.63,PS
Ape Escape 2,2003,Platform,Ubisoft,SCE Japan Studio,8.0,0.12,0.09,0.38,0.03,0.63,PS2
Ape Escape 3,2006,Platform,Sony Computer Entertainment,SCE Japan Studio,7.8,0.06,0.05,0.0,0.02,0.13,PS2
Ape Escape Academy,2006,Party,Sony Computer Entertainment,Shift,5.3,0.13,0.15,0.0,0.05,0.33,PSP
Ape Escape: On the Loose,2005,Platform,Sony Computer Entertainment,SIMS,6.6,0.52,0.01,0.12,0.05,0.7,PSP
Apocalypse,1998,Action,Activision,Neversoft Entertainment,6.7,0.25,0.17,0.0,0.03,0.45,PS
Apollo Justice: Ace Attorney,2008,Adventure,Capcom,Capcom,8.0,0.28,0.05,0.64,0.03,0.99,DS
Aquaman: Battle for Atlantis,2003,Action,TDK Mediactive,Lucky Chicken,2.4,0.01,0.0,0.0,0.0,0.01,GC
Aquanaut's Holiday,1995,Adventure,Sony Computer Entertainment,ArtDink,8.0,0.01,0.01,0.0,0.0,0.02,PS
Ar tonelico 2: Melody of Metafalica,2009,Role-Playing,NIS America,Gust,7.2,0.04,0.03,0.11,0.01,0.18,PS2
Ar tonelico Qoga: Knell of Ar Ciel,2011,Role-Playing,NIS America,Gust,7.0,0.08,0.01,0.13,0.01,0.24,PS3
Ar tonelico: Melody of Elemia,2007,Role-Playing,Nippon Ichi Software,Gust,7.0,0.0,0.0,0.1,0.0,0.1,PS2
Arc Rise Fantasia,2010,Role-Playing,Ignition Entertainment,imageepoch Inc.,6.3,0.12,0.0,0.06,0.01,0.19,Wii
Arc the Lad: Twilight of the Spirits,2003,Role-Playing,Sony Computer Entertainment,Cattle Call,7.3,0.18,0.14,0.0,0.05,0.36,PS2
Arcade Party Pak,1999,Misc,Midway Games,Digital Eclipse,7.6,0.06,0.04,0.0,0.01,0.11,PS
Arcana Heart,2008,Fighting,Atlus,Examu Inc.,8.1,0.06,0.05,0.04,0.02,0.16,PS2
Arcana Heart 3,2014,Fighting,Aksys Games,Examu Inc.,7.0,0.04,0.05,0.1,0.02,0.2,PS3
Arcania: Gothic 4,2010,Role-Playing,JoWood Productions,Spellbound Entertainment AG,5.8,0.13,0.12,0.01,0.03,0.27,PC
Archer Maclean's Mercury,2005,Puzzle,Ignition Entertainment,Awesome Studios,7.7,0.17,0.24,0.0,0.15,0.56,PSP
Are You Smarter than a 5th Grader? Game Time,2009,Puzzle,THQ,THQ,4.0,0.12,0.0,0.0,0.01,0.12,X360
Area 51,2005,Shooter,Midway Games,Midway Studios Austin,7.7,0.22,0.17,0.0,0.06,0.45,PS2
Armored Core,1997,Simulation,Sony Computer Entertainment,From Software,7.2,0.13,0.09,0.16,0.03,0.41,PS
Armored Core 4,2007,Simulation,Sega,From Software,6.5,0.28,0.01,0.12,0.03,0.45,PS3
Armored Core SL: Silent Line Portable,2009,Simulation,From Software,From Software,5.8,0.0,0.0,0.03,0.0,0.03,PSP
Armored Core: For Answer,2008,Simulation,Ubisoft,From Software,6.1,0.12,0.03,0.17,0.02,0.33999999999999997,PS3
Armored Core: Formula Front Extreme Battle,2005,Simulation,Agetec,From Software,6.7,0.05,0.0,0.0,0.0,0.05,PSP
Armored Core: Last Raven Portable,2010,Simulation,From Software,From Software,5.0,0.0,0.0,0.03,0.0,0.03,PSP
Armored Core: Master of Arena,2000,Simulation,Agetec,From Software,7.2,0.07,0.05,0.13,0.02,0.26,PS
Armored Core: Project Phantasma,1998,Simulation,ASCII Entertainment,From Software,7.2,0.06,0.04,0.15,0.02,0.28,PS
Armorines: Project S.W.A.R.M.,1999,Shooter,Acclaim Entertainment,Acclaim Studios London,3.2,0.26,0.08,0.0,0.01,0.34,N64
Army Men Advance,2001,Action,3DO,DC Studios,6.1,0.0,0.0,0.0,0.0,0.0,GBA
Army Men: Air Combat,2000,Action,3DO,3DO,7.6,0.19,0.05,0.0,0.0,0.24,N64
Army Men: Air Combat - The Elite Missions,2003,Shooter,3DO,3DO,3.8,0.01,0.0,0.0,0.0,0.01,GC
Army Men: Operation Green,2001,Action,3DO,Pocket Studios,6.2,0.0,0.0,0.0,0.0,0.0,GBA
Army Men: RTS,2002,Strategy,3DO,Pandemic Studios,6.1,0.1,0.05,0.0,0.01,0.18,GC
Army Men: Sarge's Heroes,1999,Shooter,3DO,3DO,4.2,0.68,0.12,0.0,0.01,0.81,N64
Army Men: Sarge's Heroes 2,2000,Shooter,3DO,3DO,6.0,0.34,0.07,0.0,0.0,0.42,N64
Army of Two,2008,Shooter,Electronic Arts,EA Montreal,6.7,1.83,0.63,0.04,0.31,2.8099999999999996,PS3
Army of Two: The 40th Day,2010,Shooter,Electronic Arts,EA Montreal,7.1,1.21,0.64,0.01,0.3,2.16,Multi_Plateforme
Around the World in 80 Days,2004,Action,Hip Interactive,Saffire Corporation,3.5,0.03,0.01,0.0,0.0,0.05,GBA
Art Academy,2010,Misc,Nintendo,Headstrong Games,6.8,0.26,1.66,0.33,0.27,2.52,DS
Art Academy: Lessons for Everyone!,2012,Misc,Nintendo,Headstrong Games,8.0,0.2,0.05,0.21,0.02,0.49,3DS
Ashes Cricket 2009,2009,Sports,Codemasters,Transmission Games,6.8,0.0,0.16,0.0,0.01,0.17,PS3
Asphalt 3D,2011,Racing,Ubisoft,Konami,4.0,0.27,0.16,0.02,0.04,0.49,3DS
Asphalt: Urban GT,2004,Racing,Ubisoft,Gameloft,5.0,0.31,0.22,0.0,0.06,0.59,DS
Assassin's Creed,2007,Action,Ubisoft,Ubisoft Montreal,8.2,5.199999999999999,4.489999999999999,0.16,1.44,11.29,Multi_Plateforme
Assassin's Creed II,2009,Action,Ubisoft,Ubisoft Montreal,8.5,5.69,3.95,0.29,1.45,11.41,Multi_Plateforme
Assassin's Creed II: Discovery,2009,Platform,Ubisoft,Griptonite Games,7.3,0.15,0.11,0.0,0.03,0.28,DS
Assassin's Creed III,2012,Action-Adventure,Ubisoft,Ubisoft Montreal,7.7,3.12,3.29,0.16,1.1800000000000002,7.75,Multi_Plateforme
Assassin's Creed IV: Black Flag,2013,Action-Adventure,Ubisoft,Ubisoft Montreal,8.5,6.23,5.58,0.2,1.73,13.709999999999999,Multi_Plateforme
Assassin's Creed Odyssey,2018,Action-Adventure,Ubisoft,Ubisoft Quebec,9.5,1.18,1.4,0.09,0.51,3.18,PS4
Assassin's Creed Rogue Remastered,2018,Action-Adventure,Ubisoft,Ubisoft,6.0,0.0,0.03,0.0,0.0,0.04,XOne
Assassin's Creed Syndicate,2015,Action,Ubisoft,Ubisoft Quebec,8.6,0.9,2.06,0.08,0.55,3.6,PS4
Assassin's Creed: Altair's Chronicles,2008,Action,Ubisoft,Gameloft,5.7,0.03,0.01,0.0,0.0,0.05,DS
Assassin's Creed: Bloodlines,2009,Action,Ubisoft,Griptonite Studio,6.3,0.43,0.5,0.05,0.28,1.26,PSP
Assassin's Creed: Brotherhood,2010,Action,Ubisoft,Ubisoft Montreal,9.1,4.9,1.3,0.14,0.64,6.97,Multi_Plateforme
Assassin's Creed: Revelations,2011,Action,Ubisoft,Ubisoft Montreal,7.9,3.6899999999999995,3.5,0.14,1.13,8.45,PS3
Assetto Corsa,2016,Racing,505 Games,Kunos Simulazioni,6.0,0.0,0.01,0.0,0.0,0.02,XOne
Asterix and Obelix XXL2,2018,Action-Adventure,Microids,Microids,6.5,0.0,0.06,0.0,0.0,0.06,NS
Asteroids Hyper 64,1999,Shooter,Crave Entertainment,Syrox Developments,5.6,0.13,0.03,0.0,0.0,0.16,N64
Astonishia Story,2006,Role-Playing,Ubisoft,Sonnori,4.8,0.03,0.0,0.0,0.0,0.03,PSP
Astro Bot Rescue Mission,2018,Platform,Sony Interactive Entertainment,SIE Japan Studio,8.5,0.22,0.36,0.02,0.11,0.71,PS4
Astro Boy: Omega Factor,2004,Action,Sega,Hitmaker,8.8,0.06,0.02,0.0,0.0,0.09,GBA
Astro Boy: The Video Game,2009,Action,D3 Publisher,High Voltage Software,4.4,0.28,0.04,0.0,0.03,0.36,Multi_Plateforme
Atari Anniversary Advance,2002,Misc,Atari,Digital Eclipse,7.7,0.13,0.05,0.0,0.0,0.18,GBA
